websites,hotelFax,hotelPhone,hotelAddress,hotelPrivacy,hotelAwards,hotelAbout,hotelMail,hotelMailHyper,hotelRoom,hotelActivities,hotelRestaurant,hotelMeeting,hotelGallery,hotelMap,hotelWeather,hotelTime,hotelPress,hotelSitemap,hotelUser,hotelFaq,hotelTrip,hotelOffers,hotelSearch,hotelPhoneHyper,hotelSecure,hotelCovid,hotelApp,hotelLiveSup,hotelSocial,hotelVideo,hotelVirtual,hotelNewsletter,hotelConsent,hotelOnRezerv,hotelCookie,hotelActiv,hotelPrice,hotelLang
https://www.dedeman.com/TR/,1,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,2,1,1,1
https://www.pointhotel.com/point-hotel-taksim,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,2,1
https://www.barbaros.pointhotel.com/,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,2,1
https://www.polatpalandoken.com/,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,1,1,2
https://www.radissonhotels.com/tr-tr/oteller/radisson-blu-istanbul-bosphorus,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
https://www.radissonhotels.com/tr-tr/oteller/radisson-blu-istanbul-ottomare,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
https://www.radissonhotels.com/tr-tr/oteller/radisson-blu-istanbul-sisli,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
https://www.radissonhotels.com/tr-tr/oteller/radisson-blu-kayseri,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
https://www.radissonhotels.com/tr-tr/oteller/radisson-collection-vadistanbul,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2
https://www.raffles-tr.com/istanbul/,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,1
http://www.ramadahotelmerter.com/,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,2,2,2,1,1
https://www.ramadaplazaistanbul.com/,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2
https://www.ramadatekstilkent.com/,1,2,2,2,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,1,2,1,2,1,1,1,2
http://www.ramadaplazaizmit.com/tr/,2,2,2,2,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2
https://www.ramadatekirdag.com/,1,2,2,2,1,1,1,2,2,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,1,1,1,1
https://www.richmondnua.com/,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2,1,2
https://www.shangri-la.com/tr/istanbul/shangrila/,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2
https://www.marriott.com/en-us/hotels/istgs-sheraton-grand-istanbul-atasehir/overview/,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,2
https://www.marriott.com/en-us/hotels/istas-sheraton-istanbul-atakoy-hotel/overview/,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,2
https://www.sheratonistanbulcitycenter.com/,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,1,2,1,1
https://www.marriott.com/en-us/hotels/istsl-sheraton-istanbul-levent/overview/,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2
http://www.surmelihotels.com/istanbul/,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1
https://susonabodrum.com/,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2
https://www.swissotel.com.tr/hotels/izmir/,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1
https://www.swissotel.com.tr/hotels/istanbul/,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,1
https://www.taksimotelcilik.com.tr/tr/abant-palace-otel,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,1,1
https://www.themarmarahotels.com/tr/,1,2,2,1,1,2,1,2,2,1,2,1,2,2,1,1,2,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2
https://www.themuseumhotelantakya.com/tr/,2,2,2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1
https://www.ritzcarlton.com/tr/hotels/europe/istanbul,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,1,1,2,2,1,1,1,2,1,2,1,2
https://www.marriott.com/en-us/hotels/istxr-the-st-regis-istanbul/overview/,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,2
https://www.titanic.com.tr/tr/titanic-business-kartal,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,1,2,1,2,1,1,1,2
